modelCode,validFrom,orderType,modelDescription,engineType,ccWatt,gstPercent,dealerMarginPercent,csdDiscountPercent,csdGstPercent,gemValue,status,approvalStatus
RE-BULLET350BLACK,2026-01-01,MTS,Bullet 350 Black,Petrol,349,28,6,10,5,153000,ACTIVE,APPROVED
RE-BULLET350RED,2026-01-01,MTS,Bullet 350 Red,Petrol,349,28,6,10,5,154000,ACTIVE,APPROVED
RE-METEOR350RED,2026-01-01,MTS,Meteor 350 Red,Petrol,349,28,6,10,5,162000,ACTIVE,APPROVED
RE-METEOR350BLUE,2026-01-01,MTS,Meteor 350 Blue,Petrol,349,28,6,10,5,163000,ACTIVE,APPROVED
RE-CLASSIC350GREEN,2026-01-01,MTS,Classic 350 Green,Petrol,349,28,6,10,5,157000,ACTIVE,APPROVED
RE-CLASSIC350BLACK,2026-01-01,MTS,Classic 350 Black,Petrol,349,28,6,10,5,156000,ACTIVE,APPROVED
RE-HUNTER450,2026-01-01,MTS,Hunter 450,Petrol,452,28,7,10,5,195000,ACTIVE,APPROVED
RE-HIMALAYAN450BLACK,2026-01-01,MTS,Himalayan 450 Black,Petrol,452,28,7,10,5,235000,ACTIVE,APPROVED
RE-HIMALAYAN450GREY,2026-01-01,MTS,Himalayan 450 Grey,Petrol,452,28,7,10,5,237000,ACTIVE,APPROVED
RE-GUERRILLA450RED,2026-01-01,MTS,Guerrilla 450 Red,Petrol,452,28,7,10,5,188000,ACTIVE,APPROVED
RE-GUERRILLA450BLACK,2026-01-01,MTS,Guerrilla 450 Black,Petrol,452,28,7,10,5,187000,ACTIVE,APPROVED
RE-CLASSIC650,2026-01-01,MTS,Classic 650,Petrol,648,28,7,10,5,330000,ACTIVE,APPROVED
RE-BULLET650,2026-01-01,MTS,Bullet 650,Petrol,648,28,7,10,5,335000,ACTIVE,APPROVED
RE-HUNTER650,2026-01-01,MTS,Hunter 650,Petrol,648,28,7,10,5,325000,ACTIVE,APPROVED
RE-METEOR650,2026-01-01,MTS,Meteor 650,Petrol,648,28,7,10,5,345000,ACTIVE,APPROVED
RE-INTERCEPTOR650BLACK,2026-01-01,MTS,Interceptor 650 Black,Petrol,648,28,7,10,5,315000,ACTIVE,APPROVED
RE-INTERCEPTOR650RED,2026-01-01,MTS,Interceptor 650 Red,Petrol,648,28,7,10,5,317000,ACTIVE,APPROVED
RE-CONTGT650BLACK,2026-01-01,MTS,Continental GT 650 Black,Petrol,648,28,7,10,5,325000,ACTIVE,APPROVED
RE-CONTGT650RED,2026-01-01,MTS,Continental GT 650 Red,Petrol,648,28,7,10,5,327000,ACTIVE,APPROVED
RE-SHOTGUN650BLUE,2026-01-01,MTS,Shotgun 650 Blue,Petrol,648,28,7,10,5,355000,ACTIVE,APPROVED
RE-SHOTGUN650BLACK,2026-01-01,MTS,Shotgun 650 Black,Petrol,648,28,7,10,5,352000,ACTIVE,APPROVED
RE-SUPERMETEOR650RED,2026-01-01,MTS,Super Meteor 650 Red,Petrol,648,28,7,10,5,345000,ACTIVE,APPROVED
RE-SUPERMETEOR650BLACK,2026-01-01,MTS,Super Meteor 650 Black,Petrol,648,28,7,10,5,343000,ACTIVE,APPROVED
RE-SCRAM450,2026-01-01,MTS,Scram 450,Petrol,452,28,7,10,5,220000,ACTIVE,APPROVED
RE-CLASSIC350CHROME,2026-01-01,MTS,Classic 350 Chrome,Petrol,349,28,6,10,5,160000,ACTIVE,APPROVED
RE-HUNTER350BLACK,2026-01-01,MTS,Hunter 350 Black,Petrol,349,28,6,10,5,151000,ACTIVE,APPROVED
RE-BULLET350GREY,2026-01-01,MTS,Bullet 350 Grey,Petrol,349,28,6,10,5,155000,ACTIVE,APPROVED
RE-METEOR350BLACK,2026-01-01,MTS,Meteor 350 Black,Petrol,349,28,6,10,5,161000,ACTIVE,APPROVED
RE-HIMALAYAN411,2026-01-01,MTS,Himalayan 411,Petrol,411,28,6,10,5,205000,ACTIVE,APPROVED
RE-SCRAM411WHITE,2026-01-01,MTS,Scram 411 White,Petrol,411,28,6,10,5,212000,ACTIVE,APPROVED
RE-SCRAM411BLACK,2026-01-01,MTS,Scram 411 Black,Petrol,411,28,6,10,5,214000,ACTIVE,APPROVED
RE-TWIN650BLUE,2026-01-01,MTS,Twin 650 Blue,Petrol,648,28,7,10,5,308000,ACTIVE,APPROVED
RE-MTO-HUNTER350,2026-01-01,MTO,Hunter 350 Customized,Petrol,349,28,6,10,5,150000,ACTIVE,APPROVED
RE-MTO-CLASSIC350,2026-01-01,MTO,Classic 350 Customized,Petrol,349,28,6,10,5,155000,ACTIVE,APPROVED
RE-MTO-BULLET350,2026-01-01,MTO,Bullet 350 Customized,Petrol,349,28,6,10,5,152000,ACTIVE,APPROVED
RE-MTO-METEOR350,2026-01-01,MTO,Meteor 350 Customized,Petrol,349,28,6,10,5,160000,ACTIVE,APPROVED
RE-MTO-GUERRILLA450,2026-01-01,MTO,Guerrilla 450 Customized,Petrol,452,28,7,10,5,185000,ACTIVE,APPROVED
RE-MTO-HIMALAYAN450,2026-01-01,MTO,Himalayan 450 Customized,Petrol,452,28,7,10,5,230000,ACTIVE,APPROVED
RE-MTO-INTERCEPTOR650,2026-01-01,MTO,Interceptor 650 Customized,Petrol,648,28,7,10,5,310000,ACTIVE,APPROVED
RE-MTO-CONTGT650,2026-01-01,MTO,Continental GT 650 Customized,Petrol,648,28,7,10,5,320000,ACTIVE,APPROVED
RE-MTO-SHOTGUN650,2026-01-01,MTO,Shotgun 650 Customized,Petrol,648,28,7,10,5,350000,ACTIVE,APPROVED
RE-MTO-SUPERMETEOR650,2026-01-01,MTO,Super Meteor 650 Customized,Petrol,648,28,7,10,5,340000,ACTIVE,APPROVED
RE-MTO-SCRAM411,2026-01-01,MTO,Scram 411 Customized,Petrol,411,28,6,10,5,210000,ACTIVE,APPROVED
RE-MTO-HUNTER450,2026-01-01,MTO,Hunter 450 Customized,Petrol,452,28,7,10,5,195000,ACTIVE,APPROVED
RE-MTO-CLASSIC650,2026-01-01,MTO,Classic 650 Customized,Petrol,648,28,7,10,5,330000,ACTIVE,APPROVED
RE-MTO-BULLET650,2026-01-01,MTO,Bullet 650 Customized,Petrol,648,28,7,10,5,335000,ACTIVE,APPROVED
RE-MTO-METEOR650,2026-01-01,MTO,Meteor 650 Customized,Petrol,648,28,7,10,5,345000,ACTIVE,APPROVED
RE-MTO-SCRAM450,2026-01-01,MTO,Scram 450 Customized,Petrol,452,28,7,10,5,220000,ACTIVE,APPROVED
RE-MTO-HIMALAYAN411,2026-01-01,MTO,Himalayan 411 Customized,Petrol,411,28,6,10,5,205000,ACTIVE,APPROVED
RE-MTO-ELECTRA350,2026-01-01,MTO,Electra 350 Customized,Petrol,346,28,6,10,5,148000,ACTIVE,APPROVED
RE-MTO-THUNDERBIRD350,2026-01-01,MTO,Thunderbird 350 Customized,Petrol,346,28,6,10,5,145000,ACTIVE,APPROVED
RE-EV-CLASSIC,2026-01-01,MTS,Classic EV,EV,50000,5,6,10,5,180000,ACTIVE,APPROVED
RE-EV-HUNTER,2026-01-01,MTS,Hunter EV,EV,60000,5,6,10,5,200000,ACTIVE,APPROVED
RE-EV-BULLET,2026-01-01,MTS,Bullet EV,EV,55000,5,6,10,5,210000,ACTIVE,APPROVED
RE-EV-METEOR,2026-01-01,MTS,Meteor EV,EV,70000,5,7,10,5,240000,ACTIVE,APPROVED
RE-EV-HIMALAYAN,2026-01-01,MTS,Himalayan EV,EV,80000,5,7,10,5,280000,ACTIVE,APPROVED
